axis,bench,n,status,metric,verdict
governance,GovBench,24,MEASURED,macro-F1,MEASURED
safety,DefBench,14,MEASURED,macro-F1 (binary),MEASURED
provenance,ProvBench,15,MEASURED,macro-F1 (binary),MEASURED
continuity,PQCBench,13,MEASURED,macro-F1,MEASURED
conformance,MCPBench,11,MEASURED,macro-F1 (binary),MEASURED
openness,OSSBench,13,MEASURED,macro-F1 (binary),MEASURED
