lead_id,company_legal_name,suggested_domain_UNVERIFIED,method
T9-1619,"INDEPENDENCE REALTY TRUST, INC.",independence-chicago.com,clearbit_shortname
T9-1624,SEABOARD CORP /DE/,seaboardcorp.com,clearbit_shortname
T9-1635,ABERCROMBIE & FITCH CO /DE/,asg-adj.com,clearbit_shortname
T9-1640,"Concentra Group Holdings Parent, Inc.",concentra.com,clearbit_shortname
T9-1643,NewAmsterdam Pharma Co N.V.,thenewamsterdamgroup.com,clearbit_shortname
T9-1647,Atmus Filtration Technologies Inc.,myatmus.com,clearbit_shortname
T9-1658,CONSTELLIUM SE,constellium.com,clearbit_shortname
T9-1665,STANDEX INTERNATIONAL CORP/DE/,standexe.com,clearbit_shortname
T9-1669,CHEESECAKE FACTORY INC,cheesecake1.com.tw,clearbit_shortname
T9-1675,Cellebrite DI Ltd.,cellebrite.com,clearbit_shortname
T9-1681,MATTEL INC /DE/,mattel.com,clearbit_shortname
T9-1685,"CATALYST PHARMACEUTICALS, INC.",catalyst.io,clearbit_shortname
T9-1688,OCEANEERING INTERNATIONAL INC,oceaneering.com,clearbit_shortname
T9-1690,BANCFIRST CORP /OK/,bancfirst.bank,clearbit_shortname
T9-1701,Adaro Energy PT/ADR/,adaro.es,clearbit_shortname
T9-1710,Evolution Metals & Technologies Corp.,evolution.com,clearbit_shortname
T9-1723,GENWORTH FINANCIAL INC,genworth.com,clearbit_shortname
T9-1733,"Parabilis Medicines, Inc.",parabilis.com,clearbit_shortname
T9-1743,ANDINA BOTTLING CO INC,andinadecor.com,clearbit_shortname
T9-1745,Skeena Resources Ltd,skeenacatskiing.ca,clearbit_shortname
T9-1748,"COMMUNITY FINANCIAL SYSTEM, INC.",community.com,clearbit_shortname
T9-1759,VEECO INSTRUMENTS INC,veeco.com,clearbit_shortname
T9-1768,Xanadu Quantum Technologies Ltd,xanadu.ne.jp,clearbit_shortname
T9-1769,Curbline Properties Corp.,curbline.com,clearbit_shortname
T9-1786,ALLIANCEBERNSTEIN HOLDING L.P.,alliancebernstein.com,clearbit_shortname
T9-1787,Adaptive Biotechnologies Corp,adaptive.com,clearbit_shortname
T9-1794,Bitdeer Technologies Group,bitdeer.com,clearbit_shortname
T9-1796,Titan America SA,titan.co.in,clearbit_shortname
T9-1800,SIMMONS FIRST NATIONAL CORP,simmonsinc.com,clearbit_shortname
T9-1803,Ultragenyx Pharmaceutical Inc.,ultragenyx.com,clearbit_shortname
T9-1817,TERADATA CORP /DE/,teradata.com,clearbit_shortname
T9-1830,"Vesta Real Estate Corporation, S.A.B. de C.V.",vesta-sleep.com,clearbit_shortname
T9-1832,Allegiant Travel CO,allegiantair.com,clearbit_shortname
T9-1837,"Calumet, Inc. /DE",calumettownship.org,clearbit_shortname
T9-1844,"Fluence Energy, Inc.",fluence.io,clearbit_shortname
T9-1845,"ARRAY DIGITAL INFRASTRUCTURE, INC.",array.com,clearbit_shortname
T9-1852,ARCBEST CORP /DE/,arcb.com,clearbit_shortname
T9-1868,"Crane NXT, Co.",crane.com,clearbit_shortname
T9-1881,Polestar Automotive Holding UK PLC,polestar.com,clearbit_shortname
T9-1895,NETSCOUT SYSTEMS INC,netscout.com,clearbit_shortname
T9-1904,"BLACKSTONE MORTGAGE TRUST, INC.",blackstone.com,clearbit_shortname
T9-1914,uniQure N.V.,uniqure.com,clearbit_shortname
T9-1924,"SOUNDHOUND AI, INC.",midomi.com,clearbit_shortname
T9-1927,NOVAGOLD RESOURCES INC,novagold.com,clearbit_shortname
T9-1931,"Tarsus Pharmaceuticals, Inc.",tarsusinc.com,clearbit_shortname
T9-1932,DUCOMMUN INC /DE/,ducommun.ch,clearbit_shortname
T9-1947,"CLOVER HEALTH INVESTMENTS, CORP. /DE",clover.com,clearbit_shortname
T9-1975,Boyd Group Services Inc.,boydcorp.com,clearbit_shortname
T9-1989,"Guardian Pharmacy Services, Inc.",guardianlife.com,clearbit_shortname
T9-1992,FORTUNA MINING CORP.,ifortuna.sk,clearbit_shortname
