lead_id,company_legal_name
T9-0728,LAMAR ADVERTISING CO/NEW
T9-0732,"Medpace Holdings, Inc."
T9-0748,BANCO SANTANDER CHILE
T9-0753,"UDR, Inc."
T9-0754,JONES LANG LASALLE INC
T9-0759,Pacific Airport Group
T9-0766,James Hardie Industries plc
T9-0770,CARLISLE COMPANIES INC
T9-0774,Warner Music Group Corp.
T9-0783,WOORI FINANCIAL GROUP INC.
T9-0784,NEWS CORP
T9-0785,REINSURANCE GROUP OF AMERICA INC
T9-0791,RPM INTERNATIONAL INC/DE/
T9-0805,IREN Ltd
T9-0810,Lytus Technologies Holdings PTV. Ltd.
T9-0815,ERIE INDEMNITY CO
T9-0824,Futu Holdings Ltd
T9-0825,CNH Industrial N.V.
T9-0829,ICON PLC
T9-0831,Evercore Inc.
T9-0852,Unity Software Inc.
T9-0859,"REVVITY, INC."
T9-0860,"CROWN HOLDINGS, INC."
T9-0862,AGNC Investment Corp.
T9-0875,ADVANCED ENERGY INDUSTRIES INC
T9-0877,"Gaming & Leisure Properties, Inc."
T9-0879,J M SMUCKER Co
T9-0880,Knight-Swift Transportation Holdings Inc.
T9-0886,"BXP, Inc."
T9-0905,NEW YORK TIMES CO
T9-0907,Brookfield Wealth Solutions Ltd.
T9-0926,"HUNTINGTON INGALLS INDUSTRIES, INC."
T9-0930,APA Corp
T9-0934,"SPX Technologies, Inc."
T9-0945,YARA INTERNATIONAL ASA
T9-0947,Planet Labs PBC
T9-0949,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
T9-0956,SEI INVESTMENTS CO
T9-0959,Hut 8 Corp.
T9-0960,UMB FINANCIAL CORP
T9-0965,"POPULAR, INC."
T9-0979,AES CORP
T9-0991,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/"
T9-0998,OLD NATIONAL BANCORP /IN/
T9-1018,"CULLEN/FROST BANKERS, INC."
T9-1024,TIMKEN CO
T9-1031,WESTLAKE CORP
T9-1038,MP Materials Corp. / DE
T9-1047,SOUTHEAST AIRPORT GROUP
T9-1053,"COLUMBIA BANKING SYSTEM, INC."
T9-1056,Oklo Inc.
T9-1058,"AFFILIATED MANAGERS GROUP, INC."
T9-1071,WESTERN ALLIANCE BANCORPORATION
T9-1087,SMITH A O CORP
T9-1091,ENERGY CO OF PARANA
T9-1092,IDACORP INC
T9-1104,COMMERCE BANCSHARES INC /MO/
T9-1105,"Sprouts Farmers Market, Inc."
